"County","VBM Ballots issued","VBM Ballots accepted","Drop Box","Drop Off Location","Vote Center Drop Off","Mail","FAX","Other","Regular Ballots","Provisional Ballots  
(Non-CVR)","Conditional (CVR)","Conditional (""Instant"" CVR )","In Person Ballots accepted","TOTAL BALLOTS CAST","VBM ballots returned","In person ballots returned","VBM and In Person Ballots Returned","VBM and In Person Ballots Accepted","% VBM returned","% VBM accepted","% total accepted","Total Registered","% voted"
"Alameda",970972,328448,144196,4017,3620,178524,1219,0,12727,0,0,0,12727,344303,331576,12727,344303,341175,34.15,33.83,34.68,961304,35.49
"Alpine",974,480,152,0,0,328,0,0,0,0,0,0,0,480,480,0,480,480,49.28,49.28,49.28,954,50.31
"Amador",26943,13401,7490,1,149,5755,28,0,439,0,6,69,508,13937,13423,514,13937,13909,49.82,49.74,50.66,26488,52.51
"Butte",125955,49084,15923,1137,2213,30130,107,0,0,0,2,0,0,49512,49510,2,49512,49084,39.31,38.97,38.97,125088,39.24
"Calaveras",33558,15219,5118,1149,771,8248,24,0,1425,0,6,108,1533,16849,15310,1539,16849,16752,45.62,45.35,47.73,33059,50.67
"Colusa",10708,3322,1127,326,0,1977,5,0,0,0,0,2,2,3437,3435,2,3437,3324,32.08,31.02,31.04,10626,31.28
"Contra Costa",730967,273576,107001,2581,0,166615,341,0,3772,0,0,0,3772,280310,276538,3772,280310,277348,37.83,37.43,37.75,722861,38.37
"Del Norte",15260,4829,38,2225,0,2674,1,0,0,0,0,0,0,4938,4938,0,4938,4829,32.36,31.64,31.64,15036,32.12
"El Dorado",136761,59943,31404,0,1347,27625,86,0,2538,0,0,201,2739,63201,60462,2739,63201,62682,44.21,43.83,44.93,135300,46.33
"Fresno",522961,150692,60087,0,8173,84538,336,0,11866,0,0,588,12454,165588,153134,12454,165588,163146,29.28,28.82,30.47,513799,31.75
"Glenn",14108,5224,2408,195,0,2664,0,0,0,0,0,0,0,5267,5267,0,5267,5224,37.33,37.03,37.03,13834,37.76
"Humboldt",84661,29471,8632,1846,0,19161,78,0,1724,0,65,0,1725,31506,29717,1789,31506,31196,35.1,34.81,36.09,84100,37.09
"Imperial",91906,20553,6070,1219,0,13679,9,1,0,0,0,0,0,20978,20978,0,20978,20553,22.83,22.36,22.36,90086,22.81
"Inyo",11093,4493,1170,121,0,3189,17,0,0,0,0,0,0,4497,4497,0,4497,4493,40.54,40.5,40.5,10807,41.57
"Kern",461658,125840,32945,10274,0,83516,146,0,0,0,0,0,0,126881,126881,0,126881,125840,27.48,27.26,27.26,458138,27.47
"Kings",65210,20309,10751,527,595,8739,20,0,855,0,8,106,962,21601,20632,969,21601,21271,31.64,31.14,32.14,64617,32.92
"Lake",38397,9386,1135,832,0,7449,22,0,0,0,0,0,0,9438,9438,0,9438,9386,24.58,24.44,24.44,37975,24.72
"Lassen",15107,6210,1844,1461,0,2905,0,0,0,0,0,0,0,6210,6210,0,6210,6210,41.11,41.11,41.11,14992,41.42
"Los Angeles",5805518,1452111,647981,4266,84211,722558,3235,8,256391,156,3537,0,260020,1722343,1462259,260084,1722343,1712131,25.19,25.01,28.23,5745214,29.8
"Madera",78941,28240,12199,1898,116,14151,39,0,1248,0,70,49,1367,29770,28403,1367,29770,29607,35.98,35.77,36.87,78204,37.86
"Marin",174754,81048,25899,0,2053,53511,613,0,2551,4,226,0,2775,84857,82076,2781,84857,83823,46.97,46.38,47.21,172385,48.63
"Mariposa",11997,5844,3759,6,0,2088,14,0,0,0,0,0,0,5867,5867,0,5867,5844,48.9,48.71,48.71,11739,49.78
"Mendocino",55098,21320,5138,4202,0,11924,124,0,0,0,0,0,0,21388,21388,0,21388,21320,38.82,38.69,38.69,54447,39.16
"Merced",134096,39346,12162,2595,0,25799,45,0,1624,0,0,0,1624,42225,40601,1624,42225,40970,30.28,29.34,30.19,132007,31.04
"Modoc",5273,2426,528,611,0,1321,3,0,0,0,0,0,0,2463,2463,0,2463,2426,46.71,46.01,46.01,5191,46.73
"Mono",7889,3010,1062,58,0,1899,14,0,0,0,0,0,0,3033,3033,0,3033,3010,38.45,38.15,38.15,7789,38.64
"Monterey",218471,75519,26985,1,0,49000,475,0,1440,0,0,1,1441,77902,76461,1441,77902,76960,35,34.57,35,214883,35.81
"Napa",86189,31206,11182,2,2096,18504,135,0,785,0,173,4,810,32881,31919,962,32881,32016,37.03,36.21,36.74,85045,37.65
"Nevada",76727,35444,9643,8028,2202,15677,151,0,2106,0,0,0,2106,37807,35701,2106,37807,37550,46.53,46.19,47.63,75654,49.63
"Orange",1879661,684413,261458,6009,55828,372428,1724,1,95282,0,0,0,95282,792730,697448,95282,792730,779695,37.1,36.41,39.48,1862010,41.87
"Placer",294331,108847,46701,2292,2633,58455,148,0,20658,0,19,13,20689,130919,110229,20690,130919,129536,37.45,36.98,41.12,291479,44.44
"Plumas",13881,7421,2413,73,0,4931,11,0,0,0,0,0,0,7428,7428,0,7428,7421,53.51,53.46,53.46,13699,54.17
"Riverside",1386844,434059,9863,86934,27278,317706,0,25,30184,0,0,47,30231,472037,441806,30231,472037,464290,31.86,31.3,32.76,1372548,33.83
"Sacramento",898888,309955,131656,0,7013,172766,572,0,11164,0,0,337,11501,323508,312007,11501,323508,321456,34.71,34.48,35.31,889806,36.13
"San Benito",38017,12160,8186,0,877,3500,27,0,760,0,1,145,905,13496,12590,906,13496,13065,33.12,31.99,33.57,37685,34.67
"San Bernardino",1217509,302628,56239,32633,0,223284,380,0,0,143,1149,0,0,313828,312536,1292,313828,302628,25.67,24.86,24.83,1197953,25.26
"San Diego",1992698,819301,283163,0,30531,509872,1726,0,15715,0,0,0,15715,841007,825292,15715,841007,835016,41.42,41.12,41.58,1982264,42.12
"San Francisco",527945,185089,50270,9000,0,124986,1591,0,0,0,675,0,673,186522,185847,675,186522,185762,35.2,35.06,35.14,520203,35.71
"San Joaquin",389214,113580,31431,3293,0,80763,36,0,0,0,0,0,0,115523,115523,0,115523,113580,29.68,29.18,29.18,385393,29.47
"San Luis Obispo",184510,81419,20733,7907,0,52830,259,0,0,0,0,0,0,81729,81729,0,81729,81419,44.3,44.13,44.13,182701,44.56
"San Mateo",448382,179041,66716,6,3988,108931,783,0,9414,0,89,99,9592,190026,180424,9602,190026,188633,40.24,39.93,41.19,443350,42.55
"Santa Barbara",247587,93224,45908,3294,0,44308,603,0,0,0,295,0,0,94408,94113,295,94408,93224,38.01,37.65,37.61,244991,38.05
"Santa Clara",1058211,396031,173288,3,17883,207457,941,0,23342,0,0,0,23342,422914,399572,23342,422914,419373,37.76,37.42,38.78,1048723,39.99
